[-1.02288613, -1.09700523, -0.78058897, -0.72665091] ; 3
[-0.91394334, -0.48199259, -0.58575235, -0.25296496] ; 3
[-0.57297069, -0.79048779, -0.38653357, -1.11164308] ; 2
[-1.12627682, -1.5987969, -0.59693488, -0.78247337] ; 2
[-0.43728792, -0.33585038, -0.36742453, -0.66745776] ; 1
[-0.92435927, -0.61063138, -0.70094778, -1.09141576] ; 1
[-0.42240247, -0.31723189, -0.46715844, -0.80014469] ; 1
[-0.90141057, -0.84931521, -0.86322621, -0.8563193] ; 1
[-0.80068318, -0.59152485, -0.57702931, -1.00494767] ; 2
[-0.88759366, -0.64425665, -0.70037657, -0.84037449] ; 1
[-0.72267035, -0.67849061, -0.94292052, -0.2915964] ; 3
[-0.65086721, -0.76370759, -0.76472745, -0.68600078] ; 0
[-0.86454981, -0.54688756, -0.62935135, -0.64215219] ; 1
[-1.02000404, -0.74794408, -0.49132818, -0.63925943] ; 2
[-0.60346739, -1.01282802, -0.85773219, -0.8339238] ; 0
[-0.98049406, -0.53325883, -0.57171169, -0.38320555] ; 3
[-0.71733458, -0.60020803, -0.48597657, -0.57640855] ; 2
[-0.4906508, -0.66575764, -0.68129137, -0.7200358] ; 0
[-0.68325017, -0.49861079, -0.78613753, -0.8214152] ; 1
[-0.64855992, -0.51078066, -0.56735118, -0.59384841] ; 1
[-0.55196455, -0.63449307, -0.85842172, -0.74653233] ; 0
[-0.43495358, -0.88620049, -0.89215365, -0.39347245] ; 3
[-1.2563906, -0.93260923, -0.97004763, -0.32158488] ; 3
[-0.61081001, -0.82566892, -0.72253518, -0.53171592] ; 3
[-0.60242857, -0.88403819, -0.73935883, -0.79528771] ; 0
[-0.89134018, -0.60153846, -0.8304994, -0.72916039] ; 1
[-0.53494651, -0.86523659, -0.80388648, -0.85287899] ; 0
[-0.66648884, -0.95656364, -0.96892168, -0.49121836] ; 3
[-0.86194397, -0.50245133, -0.97630602, -0.79622184] ; 1
[-0.97292996, -0.90172172, -0.92298146, -0.58596848] ; 3
[-0.63614366, -0.69308606, -0.60231801, -0.45503276] ; 3
[-0.51398747, -0.91998878, -0.76637439, -0.76724756] ; 0
[-0.79327833, -0.36454116, -0.90601311, -0.86053374] ; 1
[-0.57519942, -0.52677205, -0.56689142, -0.73666623] ; 1
[-0.55629866, -0.60327023, -1.03939634, -0.65137918] ; 0
[-0.56128888, -0.75293287, -0.86549057, -0.83519861] ; 0
[-0.91873476, -0.83898106, -0.90162463, -0.58053322] ; 3
[-0.84603391, -1.05394893, -0.41349715, -0.94261329] ; 2
[-0.77389164, -0.53424628, -0.57117472, -0.51362778] ; 3
[-0.83744478, -0.39807477, -0.67851199, -0.6289642] ; 1
[-0.6045398, -0.76213876, -0.46873809, -1.15198287] ; 2
[-0.85585467, -1.10763588, -0.5753099, -0.87619206] ; 2
[-0.48801467, -1.38352945, -0.69017965, -0.32815732] ; 3
[-0.75366473, -0.87619333, -0.59063063, -0.88438348] ; 2
[-0.4888623, -0.71481496, -0.85319932, -0.74235156] ; 0
[-0.5910347, -0.87445985, -1.16797128, -1.16175849] ; 0
[-0.4448749, -0.61481339, -0.72541606, -0.77056753] ; 0
[-0.57854084, -0.57238656, -0.88122954, -0.88200624] ; 1
[-0.44869493, -0.8493211, -0.32010506, -0.47896681] ; 2
[-1.20432981, -1.1900718, -0.55045887, -0.94081954] ; 2
[-0.6592037, -0.79910028, -0.79078191, -0.82860989] ; 0
[-0.78320643, -0.77092324, -0.56914393, -0.75377619] ; 2
[-1.17116877, -0.56220208, -0.45921024, -0.69806673] ; 2
[-0.51431856, -0.47063837, -0.86942999, -0.6569666] ; 1
[-0.74316114, -0.55621168, -0.4986741, -0.82777572] ; 2
[-0.60357136, -0.54223773, -0.72988998, -0.63931045] ; 1
[-0.88675819, -0.86069391, -0.48630219, -0.86182568] ; 2
[-0.94372622, -0.63185099, -0.82078295, -0.69801434] ; 1
[-0.65274448, -0.80677722, -0.80693137, -0.61607385] ; 3
[-1.16164608, -0.72904832, -0.81598262, -0.66723218] ; 3
[-0.74852217, -0.32861825, -0.39608863, -1.17450176] ; 1
[-0.99495286, -0.44009737, -0.79055697, -0.41340994] ; 3
[-0.60047138, -0.65214362, -0.40490383, -0.52839027] ; 2
[-1.07555148, -0.4747334, -0.63982558, -0.6223175] ; 1
[-0.65591769, -0.67875701, -0.50549827, -0.5234185] ; 2
[-0.60674269, -0.591478, -0.43743878, -0.67596954] ; 2
[-0.71399425, -0.63556954, -0.93180644, -1.03958232] ; 1
[-0.62649298, -0.3695374, -0.94531003, -0.82419063] ; 1
[-0.54611325, -0.50173775, -0.68582774, -0.84545066] ; 1
[-0.48419807, -0.71931874, -0.99219745, -0.83986054] ; 0
[-0.41081295, -0.73863704, -0.53793169, -0.58372307] ; 0
[-0.42468233, -0.59837773, -0.50253263, -0.37500201] ; 3
[-0.62330028, -0.87598082, -0.78043167, -0.45647178] ; 3
[-0.89772751, -0.40371399, -1.00301312, -0.59568207] ; 1
[-0.73394766, -0.83297947, -0.49533577, -0.53733659] ; 2
[-0.70172469, -0.68221863, -0.54343469, -0.78703271] ; 2
[-0.91851261, -0.58614165, -0.81503433, -0.11501873] ; 3
[-0.49834643, -0.8382489, -0.27209862, -0.70688152] ; 2
[-2.01539991, -1.22786673, -0.28418581, -1.45038608] ; 2
[-0.48921145, -0.58848454, -0.68801371, -1.06083897] ; 0
[-0.39958202, -0.40241867, -0.50096963, -0.46321407] ; 0
[-0.72282771, -0.72696627, -0.73903456, -0.4976121] ; 3
[-0.42856565, -0.68491391, -0.72912185, -0.6892742] ; 0
[-0.49753309, -0.54209984, -0.77478755, -0.54153512] ; 0
[-0.50515998, -0.95692073, -0.56672781, -0.795146] ; 0
[-0.6958233, -0.55507902, -1.03050913, -0.75268385] ; 1
[-0.45978592, -0.46032836, -0.57825254, -0.98017386] ; 0
[-0.31076051, -0.27183269, -0.40446977, -0.53471832] ; 1
[-0.73524424, -0.80579663, -0.50140433, -0.6552913] ; 2
[-0.74421576, -0.67657266, -0.5615487, -0.59320744] ; 2
[-0.9394697, -0.63125085, -0.62132599, -0.82943291] ; 2
[-0.85880474, -0.74495752, -0.70462552, -0.65998672] ; 3
[-0.81073086, -0.54663768, -0.73244168, -0.72092339] ; 1
[-0.40895136, -0.50773354, -0.72863256, -0.66927765] ; 0
[-0.98560988, -0.26142618, -0.72935825, -0.89333518] ; 1
[-0.78035869, -0.86063405, -0.28668482, -0.75212169] ; 2
[-0.55059628, -0.69269093, -0.73264224, -0.5294973] ; 3
[-0.77949145, -0.67612195, -0.57886716, -0.32061629] ; 3
[-0.48062622, -0.49504178, -0.57697045, -0.82414048] ; 0
[-0.66255364, -0.62294865, -0.51405546, -0.33050459] ; 3
[-0.62917789, -0.59322407, -0.96702083, -0.77056357] ; 1
[-0.93689612, -0.68129926, -0.62884959, -0.81386834] ; 2
[-0.50933134, -0.6384326, -0.54479856, -0.56587535] ; 0
[-0.53062996, -0.54298471, -0.34216272, -0.34749145] ; 2
[-0.58988956, -0.48952773, -0.89741132, -0.67296666] ; 1
[-1.21053863, -0.8601264, -0.54557555, -0.63233111] ; 2
[-0.69523641, -0.72222637, -0.48548852, -0.77182581] ; 2
[-0.46120528, -0.84325324, -0.76350419, -0.5897491] ; 0
[-0.93247136, -0.96045223, -0.51355123, -1.40677778] ; 2
[-0.76723544, -0.49644469, -0.67258224, -1.0597171] ; 1
[-0.89490786, -0.59342111, -0.759235, -1.19762931] ; 1
[-0.41027458, -0.63504013, -0.55197353, -0.8448881] ; 0
[-0.40621415, -0.94447801, -0.59263222, -0.86966396] ; 0
[-0.73377137, -0.73599295, -0.48220645, -0.46232207] ; 3
[-0.34868195, -0.73954319, -0.66401929, -1.35813363] ; 0
[-0.63923212, -0.65050801, -0.7810093, -0.85225994] ; 0
[-0.7401689, -0.51176199, -0.79231484, -0.71301048] ; 1
[-0.58167595, -0.72931185, -0.87171888, -0.42765273] ; 3
[-0.50257516, -0.40157307, -0.50119723, -0.32851322] ; 3
[-0.66978345, -0.76693438, -0.45972229, -0.95569869] ; 2
[-1.22182472, -0.97369058, -0.5231773, -0.86368768] ; 2
[-0.69261356, -1.02032573, -0.6283479, -0.544151] ; 3
[-1.00785589, -0.24728305, -0.95353428, -0.96857549] ; 1
[-0.59103901, -0.64675446, -0.45177193, -0.63397049] ; 2
[-1.02560521, -0.58384357, -0.72088122, -0.62480358] ; 1
[-0.78079646, -0.50908485, -0.70471719, -0.70310286] ; 1
[-0.75780097, -0.57330166, -0.80776537, -0.37190854] ; 3
[-0.63721115, -0.6042495, -0.81438012, -0.64469908] ; 1
[-0.80769233, -0.43741899, -0.25535325, -0.3614476] ; 2
[-1.28737206, -0.56152025, -1.20771008, -1.05496309] ; 1
[-1.13855649, -0.45831797, -0.57674065, -0.56673725] ; 1
[-0.60511421, -0.80166325, -0.69849005, -0.48964394] ; 3
[-0.33671596, -0.88379653, -0.88230952, -0.57427713] ; 0
[-0.65421409, -0.3458222, -0.94355934, -0.70573847] ; 1
